Algorithm,InputType,Size,ExecutionTimeNanos,RecursionDepth,ComparisonsOrSwaps
MergeSort,Random,100,55400,5,566
QuickSort,Random,100,142300,4,594
DeterministicSelect,Random,100,75800,1,121
MergeSort,Sorted,100,13400,5,99
QuickSort,Sorted,100,86100,4,749
DeterministicSelect,Sorted,100,139700,5,254
MergeSort,Reverse-sorted,100,45100,5,475
QuickSort,Reverse-sorted,100,137600,4,700
DeterministicSelect,Reverse-sorted,100,164600,7,263
MergeSort,Duplicate-heavy,100,61500,5,555
QuickSort,Duplicate-heavy,100,87100,2,1261
DeterministicSelect,Duplicate-heavy,100,615400,8,391
MergeSort,Random,1000,776900,8,9197
QuickSort,Random,1000,341700,7,10547
DeterministicSelect,Random,1000,648900,10,3013
MergeSort,Sorted,1000,64800,8,999
QuickSort,Sorted,1000,287800,6,11464
DeterministicSelect,Sorted,1000,351100,8,2927
MergeSort,Reverse-sorted,1000,106200,8,7011
QuickSort,Reverse-sorted,1000,160500,6,10872
DeterministicSelect,Reverse-sorted,1000,439900,7,2958
MergeSort,Duplicate-heavy,1000,114200,8,8504
QuickSort,Duplicate-heavy,1000,1078500,3,103162
DeterministicSelect,Duplicate-heavy,1000,7677800,123,96258
MergeSort,Random,10000,1658000,11,128110
QuickSort,Random,10000,1501500,9,161693
DeterministicSelect,Random,10000,3937300,12,31572
MergeSort,Sorted,10000,87000,11,9999
QuickSort,Sorted,10000,761500,8,154318
DeterministicSelect,Sorted,10000,2417100,13,31445
MergeSort,Reverse-sorted,10000,776800,11,94671
QuickSort,Reverse-sorted,10000,1102800,8,154123
DeterministicSelect,Reverse-sorted,10000,1454600,12,31694
MergeSort,Duplicate-heavy,10000,2259400,11,115947
QuickSort,Duplicate-heavy,10000,18403400,2,10026289
DeterministicSelect,Duplicate-heavy,10000,4081572000,973,293023647
MergeSort,Random,50000,4921800,14,737013
QuickSort,Random,50000,8923900,10,930918
DeterministicSelect,Random,50000,2732600,15,161310
MergeSort,Sorted,50000,164100,14,49999
QuickSort,Sorted,50000,6567800,10,964943
DeterministicSelect,Sorted,50000,1228000,13,160339
MergeSort,Reverse-sorted,50000,1613000,14,459631
QuickSort,Reverse-sorted,50000,7357100,10,901771
Dete
